source,line,function,ncalls,tottime,cumtime,run,backend
solution_clean_qiskit.py,155,frobenius_norm_error,1,0.0001838,0.0008087,4,Danny
solution_clean_qiskit.py,188,__init__,1,4.1000000000000006e-06,0.0005744,2,Danny
solution_clean_qiskit.py,188,__init__,1,5.4e-06,0.0004424,1,Danny
solution_clean_qiskit.py,188,__init__,1,3.9e-06,0.0003083,3,Danny
solution_clean_qiskit.py,188,__init__,1,3.3e-06,0.0002861,4,Danny
solution_clean_qiskit.py,188,__init__,1,2.9e-06,0.0002854,5,Danny
solution_clean_qiskit.py,261,generate_random_matrix,1,4.91e-05,0.0002601,2,Danny
solution_clean_pennylane.py,190,random_matrix,1,5.4600000000000006e-05,0.0002153,1,Danny
solution_clean_pennylane.py,190,random_matrix,1,4.18e-05,0.0002078,2,Danny
solution_clean_pennylane.py,190,random_matrix,1,6.37e-05,0.0001967,3,Danny
solution_clean_qiskit.py,261,generate_random_matrix,1,2.22e-05,0.0001814,4,Danny
solution_clean_pennylane.py,190,random_matrix,1,5.9900000000000006e-05,0.0001774,4,Danny
solution_clean_pennylane.py,190,random_matrix,1,2.33e-05,0.0001071,5,Danny
solution_clean_qiskit.py,261,generate_random_matrix,1,2.39e-05,9.98e-05,3,Danny
solution_clean_qiskit.py,261,generate_random_matrix,1,1.83e-05,9.18e-05,1,Danny
solution_clean_qiskit.py,261,generate_random_matrix,1,1.73e-05,8.54e-05,5,Danny
solution_clean_qiskit.py,13,VQSVD,1,2.95e-05,2.95e-05,4,Danny
solution_clean_pennylane.py,34,<listcomp>,1,1.1e-05,1.69e-05,3,Danny
solution_clean_pennylane.py,34,<listcomp>,1,4.9000000000000005e-06,7.7e-06,4,Danny
solution_clean_qiskit.py,187,LossPlot,1,7.7e-06,7.7e-06,4,Danny
solution_clean_pennylane.py,34,<listcomp>,1,4.4e-06,7.000000000000001e-06,5,Danny
solution_clean_pennylane.py,34,<listcomp>,1,4.2e-06,6.4000000000000006e-06,1,Danny
solution_clean_pennylane.py,34,<listcomp>,1,4.1000000000000006e-06,6.200000000000001e-06,2,Danny
solution_clean_qiskit.py,13,VQSVD,1,5.1e-06,5.1e-06,2,Danny
solution_clean_qiskit.py,13,VQSVD,1,4.7e-06,4.7e-06,3,Danny
solution_clean_qiskit.py,13,VQSVD,1,4.7e-06,4.7e-06,1,Danny
solution_clean_qiskit.py,13,VQSVD,1,4.4e-06,4.4e-06,5,Danny
solution_clean_pennylane.py,10,VQSVD,1,3.4e-06,3.4e-06,4,Danny
solution_clean_pennylane.py,10,VQSVD,1,3.3e-06,3.3e-06,5,Danny
solution_clean_pennylane.py,10,VQSVD,1,2.9e-06,2.9e-06,3,Danny
solution_clean_pennylane.py,10,VQSVD,1,2.6e-06,2.6e-06,1,Danny
solution_clean_pennylane.py,10,VQSVD,1,2.5e-06,2.5e-06,2,Danny
solution_clean_qiskit.py,187,LossPlot,1,2.2e-06,2.2e-06,3,Danny
solution_clean_qiskit.py,187,LossPlot,1,2.0000000000000003e-06,2.0000000000000003e-06,2,Danny
solution_clean_qiskit.py,187,LossPlot,1,2.0000000000000003e-06,2.0000000000000003e-06,5,Danny
solution_clean_qiskit.py,187,LossPlot,1,1.9e-06,1.9e-06,1,Danny
solution_clean_pennylane.py,128,LossPlot,1,1.8e-06,1.8e-06,3,Danny
solution_clean_pennylane.py,128,LossPlot,1,1.8e-06,1.8e-06,4,Danny
solution_clean_pennylane.py,128,LossPlot,1,1.5e-06,1.5e-06,5,Danny
solution_clean_pennylane.py,128,LossPlot,1,1.5e-06,1.5e-06,1,Danny
solution_clean_pennylane.py,128,LossPlot,1,1.4e-06,1.4e-06,2,Danny
solution_clean_qiskit.py,245,MatGenerator,1,1.1e-06,1.1e-06,1,Danny
solution_clean_qiskit.py,245,MatGenerator,1,1.0000000000000002e-06,1.0000000000000002e-06,4,Danny
solution_clean_qiskit.py,245,MatGenerator,1,9.000000000000001e-07,9.000000000000001e-07,2,Danny
solution_clean_qiskit.py,75,get_matrix_U,1,9.000000000000001e-07,9.000000000000001e-07,2,Danny
solution_clean_qiskit.py,245,MatGenerator,1,9.000000000000001e-07,9.000000000000001e-07,3,Danny
solution_clean_pennylane.py,129,__init__,1,8.000000000000001e-07,8.000000000000001e-07,5,Danny
solution_clean_qiskit.py,245,MatGenerator,1,8.000000000000001e-07,8.000000000000001e-07,5,Danny
solution_clean_qiskit.py,75,get_matrix_U,1,7.000000000000001e-07,7.000000000000001e-07,3,Danny
solution_clean_pennylane.py,129,__init__,1,7.000000000000001e-07,7.000000000000001e-07,1,Danny
solution_clean_pennylane.py,65,get_matrix_U,1,7.000000000000001e-07,7.000000000000001e-07,2,Danny
solution_clean_pennylane.py,129,__init__,1,7.000000000000001e-07,7.000000000000001e-07,4,Danny
solution_clean_pennylane.py,129,__init__,1,6.000000000000001e-07,6.000000000000001e-07,2,Danny
solution_clean_qiskit.py,75,get_matrix_U,1,6.000000000000001e-07,6.000000000000001e-07,4,Danny
solution_clean_pennylane.py,176,MatGenerator,1,6.000000000000001e-07,6.000000000000001e-07,4,Danny
solution_clean_qiskit.py,246,__init__,1,6.000000000000001e-07,6.000000000000001e-07,5,Danny
solution_clean_qiskit.py,78,get_matrix_V,1,5.000000000000001e-07,5.000000000000001e-07,3,Danny
solution_clean_pennylane.py,129,__init__,1,5.000000000000001e-07,5.000000000000001e-07,3,Danny
