file,line,function,ncalls,tottime,cumtime,backend,run
solution_clean_pennylane.py,49,ansatz,12928,4.1470591,194.97431780000002,solution_clean_pennylane,2
solution_clean_pennylane.py,49,ansatz,12928,4.1879096,194.7922997,solution_clean_pennylane,4
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.25717100000000004,193.67823380000002,solution_clean_qiskit,5
solution_clean_qiskit.py,81,loss_func,200,0.022297900000000002,191.81792180000002,solution_clean_qiskit,5
solution_clean_qiskit.py,110,loss_only,100,0.0001755,101.0699604,solution_clean_qiskit,3
solution_clean_qiskit.py,110,loss_only,100,0.0001841,101.05511960000001,solution_clean_qiskit,2
solution_clean_qiskit.py,110,loss_only,100,0.0001743,99.38818330000001,solution_clean_qiskit,1
solution_clean_qiskit.py,110,loss_only,100,0.00018720000000000002,97.17110330000001,solution_clean_qiskit,4
solution_clean_qiskit.py,110,loss_only,100,0.00018470000000000002,92.7371416,solution_clean_qiskit,5
solution_clean_qiskit.py,47,ansatz,12928,3.7725265,89.5141533,solution_clean_qiskit,2
solution_clean_qiskit.py,47,ansatz,12928,3.8160984000000004,89.4693912,solution_clean_qiskit,3
solution_clean_qiskit.py,47,ansatz,12928,3.7496006000000004,88.2516695,solution_clean_qiskit,1
solution_clean_qiskit.py,47,ansatz,12928,3.6402211,85.017572,solution_clean_qiskit,4
solution_clean_qiskit.py,47,ansatz,12928,3.6340381,83.8229517,solution_clean_qiskit,5
solution_clean_paddle.py,1,<module>,1,0.07011880000000001,75.8860226,solution_clean_paddle,1
solution_clean_paddle.py,74,train,1,1.3318724000000002,70.3672738,solution_clean_paddle,1
solution_clean_paddle.py,1,<module>,1,0.0679704,69.1693544,solution_clean_paddle,5
solution_clean_paddle.py,1,<module>,1,0.0624076,68.415906,solution_clean_paddle,3
solution_clean_paddle.py,1,<module>,1,0.0566047,66.492484,solution_clean_paddle,4
solution_clean_paddle.py,1,<module>,1,0.06005460000000001,65.7874736,solution_clean_paddle,2
solution_clean_paddle.py,74,train,1,1.243236,64.23325220000001,solution_clean_paddle,5
solution_clean_paddle.py,74,train,1,1.1858889000000001,63.7703404,solution_clean_paddle,3
solution_clean_paddle.py,74,train,1,1.153594,61.9415095,solution_clean_paddle,4
solution_clean_paddle.py,74,train,1,1.1560667,61.24494670000001,solution_clean_paddle,2
solution_clean_paddle.py,49,loss_func,100,0.027344800000000002,55.6517982,solution_clean_paddle,1
solution_clean_paddle.py,49,loss_func,100,0.0242792,51.149186300000004,solution_clean_paddle,5
solution_clean_paddle.py,49,loss_func,100,0.0223923,50.7015425,solution_clean_paddle,3
solution_clean_paddle.py,49,loss_func,100,0.021631900000000003,49.493685600000006,solution_clean_paddle,4
solution_clean_paddle.py,49,loss_func,100,0.0226528,48.622703900000005,solution_clean_paddle,2
solution_clean_pennylane.py,11,__init__,1,0.00011540000000000001,9.0229204,solution_clean_pennylane,1
solution_clean_pennylane.py,11,__init__,1,7.460000000000001e-05,7.4133917,solution_clean_pennylane,5
solution_clean_pennylane.py,11,__init__,1,7.02e-05,7.3484882,solution_clean_pennylane,3
solution_clean_pennylane.py,11,__init__,1,8.47e-05,7.2254506,solution_clean_pennylane,2
solution_clean_pennylane.py,11,__init__,1,7.09e-05,7.1605939,solution_clean_pennylane,4
solution_clean_qiskit.py,14,__init__,1,5.16e-05,0.9851518,solution_clean_qiskit,2
solution_clean_qiskit.py,14,__init__,1,4e-05,0.8668489,solution_clean_qiskit,3
solution_clean_qiskit.py,14,__init__,1,4.2300000000000005e-05,0.8505657000000001,solution_clean_qiskit,4
solution_clean_qiskit.py,14,__init__,1,4.6e-05,0.8490996000000001,solution_clean_qiskit,1
solution_clean_qiskit.py,14,__init__,1,4.8400000000000004e-05,0.8294027,solution_clean_qiskit,5
solution_clean_paddle.py,67,get_matrix_U,2,1.3000000000000001e-05,0.5604286,solution_clean_paddle,5
solution_clean_paddle.py,67,get_matrix_U,2,1.06e-05,0.5275747000000001,solution_clean_paddle,1
solution_clean_paddle.py,70,get_matrix_V,2,9e-06,0.5269354,solution_clean_paddle,1
solution_clean_paddle.py,67,get_matrix_U,2,1.1400000000000001e-05,0.5247482,solution_clean_paddle,3
solution_clean_paddle.py,70,get_matrix_V,2,8.200000000000001e-06,0.5198129,solution_clean_paddle,3
solution_clean_paddle.py,67,get_matrix_U,2,1.1000000000000001e-05,0.5127864000000001,solution_clean_paddle,4
solution_clean_qiskit.py,195,loss_plot,1,2.33e-05,0.5035584000000001,solution_clean_qiskit,5
solution_clean_paddle.py,70,get_matrix_V,2,9.2e-06,0.5028522000000001,solution_clean_paddle,5
solution_clean_paddle.py,70,get_matrix_V,2,8.5e-06,0.5016266,solution_clean_paddle,4
solution_clean_paddle.py,67,get_matrix_U,2,1.01e-05,0.4957187,solution_clean_paddle,2
solution_clean_qiskit.py,195,loss_plot,1,2.23e-05,0.45781770000000005,solution_clean_qiskit,2
solution_clean_paddle.py,70,get_matrix_V,2,8.3e-06,0.45011730000000005,solution_clean_paddle,2
solution_clean_pennylane.py,132,loss_plot,1,1.9900000000000003e-05,0.4318872,solution_clean_pennylane,5
solution_clean_paddle.py,107,loss_plot,1,3.6400000000000004e-05,0.42612710000000004,solution_clean_paddle,1
solution_clean_paddle.py,107,loss_plot,1,1.7800000000000002e-05,0.41030900000000003,solution_clean_paddle,5
solution_clean_qiskit.py,195,loss_plot,1,1.84e-05,0.39084230000000003,solution_clean_qiskit,1
solution_clean_paddle.py,146,save_plot,3,1.7100000000000002e-05,0.3869503,solution_clean_paddle,5
solution_clean_qiskit.py,195,loss_plot,1,2.01e-05,0.3847239,solution_clean_qiskit,3
solution_clean_qiskit.py,195,loss_plot,1,2.01e-05,0.3768222,solution_clean_qiskit,4
solution_clean_pennylane.py,132,loss_plot,1,1.84e-05,0.35294380000000003,solution_clean_pennylane,3
solution_clean_pennylane.py,132,loss_plot,1,1.6000000000000003e-05,0.35251960000000004,solution_clean_pennylane,1
solution_clean_pennylane.py,132,loss_plot,1,2.02e-05,0.33938830000000003,solution_clean_pennylane,4
solution_clean_pennylane.py,171,save_plot,3,1.48e-05,0.3321831,solution_clean_pennylane,3
solution_clean_paddle.py,146,save_plot,3,1.5700000000000002e-05,0.3278449,solution_clean_paddle,1
solution_clean_paddle.py,107,loss_plot,1,3.77e-05,0.3241315,solution_clean_paddle,4
solution_clean_paddle.py,107,loss_plot,1,1.6800000000000002e-05,0.32252980000000003,solution_clean_paddle,2
solution_clean_pennylane.py,132,loss_plot,1,1.6400000000000002e-05,0.31796090000000005,solution_clean_pennylane,2
solution_clean_paddle.py,107,loss_plot,1,1.7800000000000002e-05,0.3102186,solution_clean_paddle,3
solution_clean_pennylane.py,171,save_plot,3,1.3300000000000001e-05,0.3066109,solution_clean_pennylane,1
solution_clean_pennylane.py,171,save_plot,3,1.1700000000000001e-05,0.29709260000000004,solution_clean_pennylane,5
solution_clean_qiskit.py,231,plot_matrix_as_image,1,2.26e-05,0.2813395,solution_clean_qiskit,4
solution_clean_paddle.py,146,save_plot,3,1.1700000000000001e-05,0.261063,solution_clean_paddle,4
solution_clean_pennylane.py,171,save_plot,3,1.66e-05,0.2606696,solution_clean_pennylane,4
solution_clean_pennylane.py,171,save_plot,3,1.13e-05,0.25599310000000003,solution_clean_pennylane,2
solution_clean_paddle.py,146,save_plot,3,1.1900000000000001e-05,0.2556143,solution_clean_paddle,2
solution_clean_paddle.py,146,save_plot,3,1e-05,0.2515485,solution_clean_paddle,3
solution_clean_paddle.py,138,plot_matrix_as_image,1,1.39e-05,0.2148237,solution_clean_paddle,5
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1.3500000000000001e-05,0.1932932,solution_clean_pennylane,3
solution_clean_qiskit.py,231,plot_matrix_as_image,1,2.72e-05,0.17456280000000002,solution_clean_qiskit,2
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1.1700000000000001e-05,0.1630491,solution_clean_pennylane,1
solution_clean_paddle.py,138,plot_matrix_as_image,1,1.23e-05,0.1533206,solution_clean_paddle,1
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,1.8900000000000002e-05,0.1423018,solution_clean_qiskit,2
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.32e-05,0.1415752,solution_clean_qiskit,5
solution_clean_pennylane.py,163,plot_matrix_as_image,1,8.900000000000001e-06,0.1396602,solution_clean_pennylane,2
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.5700000000000002e-05,0.13839300000000002,solution_clean_qiskit,1
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,2.11e-05,0.1381802,solution_clean_pennylane,3
solution_clean_pennylane.py,163,plot_matrix_as_image,1,9.3e-06,0.1332014,solution_clean_pennylane,5
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,1.83e-05,0.1325935,solution_clean_qiskit,4
solution_clean_paddle.py,138,plot_matrix_as_image,1,9.3e-06,0.13061330000000002,solution_clean_paddle,4
solution_clean_paddle.py,138,plot_matrix_as_image,1,8.5e-06,0.12911920000000002,solution_clean_paddle,3
solution_clean_paddle.py,138,plot_matrix_as_image,1,1.3000000000000001e-05,0.12567820000000002,solution_clean_paddle,2
solution_clean_paddle.py,121,plot_singular_values_comparison,1,2.8000000000000003e-05,0.12564060000000002,solution_clean_paddle,1
solution_clean_pennylane.py,163,plot_matrix_as_image,1,9.600000000000001e-06,0.12402080000000001,solution_clean_pennylane,4
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.63e-05,0.12093860000000001,solution_clean_qiskit,3
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,1.76e-05,0.1132814,solution_clean_pennylane,1
solution_clean_paddle.py,121,plot_singular_values_comparison,1,1.8e-05,0.1036083,solution_clean_paddle,5
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,1.6100000000000002e-05,0.1031224,solution_clean_qiskit,5
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,1.39e-05,0.1023614,solution_clean_qiskit,1
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,1.73e-05,0.1010829,solution_clean_pennylane,5
